offset,keyLength,parentID,nodeName/nameLen,nodeName/nodeUnicode,recordType,flags,reserved1,CNID,createDate,contentModDate,attributeModDate,accessDate,backupDate,permissions/ownerID,permissions/groupID,permissions/adminFlags,permissions/ownerFlags,permissions/fileMode,permissions/special,userInfo/fileType,userInfo/fileCreator,userInfo/finderFlags,userInfo/location/v,userInfo/location/h,userInfo/opaque,finderInfo/document_id,finderInfo/date_added,finderInfo/extendedFinderFlags,finderInfo/reserved2,finderInfo/write_gen_counter,textEncoding,reserved2,dataFork/logicalSize,dataFork/clumpSize,dataFork/totalBlocks,dataFork/extents/extent0/startBlock,dataFork/extents/extent0/blockCount,dataFork/extents/extent1/startBlock,dataFork/extents/extent1/blockCount,dataFork/extents/extent2/startBlock,dataFork/extents/extent2/blockCount,dataFork/extents/extent3/startBlock,dataFork/extents/extent3/blockCount,dataFork/extents/extent4/startBlock,dataFork/extents/extent4/blockCount,dataFork/extents/extent5/startBlock,dataFork/extents/extent5/blockCount,dataFork/extents/extent6/startBlock,dataFork/extents/extent6/blockCount,dataFork/extents/extent7/startBlock,dataFork/extents/extent7/blockCount,resourceFork/logicalSize,resourceFork/clumpSize,resourceFork/totalBlocks,resourceFork/extents/extent0/startBlock,resourceFork/extents/extent0/blockCount,resourceFork/extents/extent1/startBlock,resourceFork/extents/extent1/blockCount,resourceFork/extents/extent2/startBlock,resourceFork/extents/extent2/blockCount,resourceFork/extents/extent3/startBlock,resourceFork/extents/extent3/blockCount,resourceFork/extents/extent4/startBlock,resourceFork/extents/extent4/blockCount,resourceFork/extents/extent5/startBlock,resourceFork/extents/extent5/blockCount,resourceFork/extents/extent6/startBlock,resourceFork/extents/extent6/blockCount,resourceFork/extents/extent7/startBlock,resourceFork/extents/extent7/blockCount,valence,bsdInfo/ownerID,bsdInfo/groupID,bsdInfo/adminFlags,bsdInfo/ownerFlags,bsdInfo/fileMode,bsdInfo/special,userInfo/windowBounds/top,userInfo/windowBounds/left,userInfo/windowBounds/bottom,userInfo/windowBounds/right,finderInfo/reserved3,folderCount,reserved,fullPath,
3334742,6,9640106,18,Catalog_Header.csv,4,,,9640110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3334796,6,9640106,16,Extents_Leaf.csv,4,,,9640111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3334846,6,9640106,17,Extents_Index.csv,4,,,9640112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3334898,6,9640106,18,Extents_Header.csv,4,,,9640113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3334952,6,9640106,19,Attributes_Leaf.csv,4,,,9640114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3335008,6,9640106,20,Attributes_Index.csv,4,,,9640115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3335066,6,9640106,21,Attributes_Header.csv,4,,,9640116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3335126,6,9640106,10,Journal.db,4,,,9640117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3485710,6,9640032,18,DocumentIdentifier,4,,,9640035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3485764,6,3212519,29,com.apple.iWork.Numbers.plist,4,,,9640037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3485840,6,674823,4,0093,3,,,9640038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3485866,28,9640038,11,9640029.txt,2,134,0,9640039,3507822284,3507822284,3507822284,3507822284,0,0,0,0,32,33152,1,0,0,0,0,0,0,0,1424977484,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3486144,6,9640038,11,9640029.txt,4,,,9640039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486184,6,18,11,temp9640056,4,,,9640056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486224,6,405341,37,widget-com.apple.widget.weather.plist,4,,,9640059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486316,6,1495533,33,Auto Save Session.sublime_session,4,,,9640060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486400,6,410431,11,Preferences,4,,,9640061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486440,6,409616,11,Local State,4,,,9640062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486480,6,405341,24,com.apple.Terminal.plist,4,,,9640063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486546,6,11644,29,com.apple.xpc.activity2.plist,4,,,9640064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486622,6,405341,29,com.apple.xpc.activity2.plist,4,,,9640066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486698,6,8277177,14,window_19.data,4,,,9640099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486744,6,406508,12,mdsObject.db,4,,,9640103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486786,6,9533493,18,output_generic.pyc,4,,,9640104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486840,6,9533463,23,result2015-02-27-041012,3,,,9640105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3486904,20,9640105,7,Journal,1,128,,9640106,3507822615,3507822632,3507822632,3507822632,0,,,,,,,,,0,0,0,0,0,1424977815,0,,23058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,20,0,0,16877,1,0,0,0,0,0,0,,unknown,
3487014,6,9640105,7,Journal,3,,,9640106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3487046,48,9640106,21,Attributes_Header.csv,2,130,0,9640116,3507822615,3507822615,3507822615,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3487344,46,9640106,20,Attributes_Index.csv,2,130,0,9640115,3507822615,3507822615,3507822615,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3487640,44,9640106,19,Attributes_Leaf.csv,2,130,0,9640114,3507822615,3507822629,3507822629,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3487934,42,9640106,18,Catalog_Header.csv,2,130,0,9640110,3507822615,3507822615,3507822615,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3488226,40,9640106,17,Catalog_Index.csv,2,130,0,9640109,3507822615,3507822626,3507822626,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3488516,38,9640106,16,Catalog_Leaf.csv,2,130,0,9640108,3507822615,3507822632,3507822632,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3488804,42,9640106,18,Extents_Header.csv,2,130,0,9640113,3507822615,3507822615,3507822615,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3489096,40,9640106,17,Extents_Index.csv,2,130,0,9640112,3507822615,3507822615,3507822615,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3489386,38,9640106,16,Extents_Leaf.csv,2,130,0,9640111,3507822615,3507822632,3507822632,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3489674,26,9640106,10,Journal.db,2,130,0,9640117,3507822615,3507822632,3507822632,3507822632,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,23650,0,0,2498560,0,610,7503654,4,7504084,1,7504125,1,7504152,1,7504362,2,7504766,3,7504770,1,7504772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3489950,38,9640106,16,VolumeHeader.csv,2,130,0,9640107,3507822615,3507822615,3507822615,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3490238,6,9640106,16,VolumeHeader.csv,4,,,9640107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490288,6,9640106,16,Catalog_Leaf.csv,4,,,9640108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490338,6,9640106,17,Catalog_Index.csv,4,,,9640109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490390,6,9640106,18,Catalog_Header.csv,4,,,9640110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490444,6,9640106,16,Extents_Leaf.csv,4,,,9640111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490494,6,9640106,17,Extents_Index.csv,4,,,9640112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490546,6,9640106,18,Extents_Header.csv,4,,,9640113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490600,6,9640106,19,Attributes_Leaf.csv,4,,,9640114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490656,6,9640106,20,Attributes_Index.csv,4,,,9640115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490714,6,9640106,21,Attributes_Header.csv,4,,,9640116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3490774,6,9640106,10,Journal.db,4,,,9640117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3641358,6,9640032,18,DocumentIdentifier,4,,,9640035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3641412,6,3212519,29,com.apple.iWork.Numbers.plist,4,,,9640037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3641488,6,674823,4,0093,3,,,9640038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3641514,28,9640038,11,9640029.txt,2,134,0,9640039,3507822284,3507822284,3507822284,3507822284,0,0,0,0,32,33152,1,0,0,0,0,0,0,0,1424977484,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3641792,6,9640038,11,9640029.txt,4,,,9640039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
